Id,Price,Class,Sub_Class,Latitude,Longitude,Park_Proximity,Location,Sub_Location,Transportation_Access,Radius,Image_Path
World Premiere Food Court,Medium $$,Dining,,28.3358863,-81.5722088,Animal Kingdom,All Star Movies,All Star Movies,Bus,10,
Grandstand Spirits,Medium $$,Dining,,28.3436338,-81.5752405,Animal Kingdom,All Star Movies,All Star Movies,Bus,10,
All Star Movies,Value $,Resort,,28.3358863,-81.5722088,Animal Kingdom,All Star Movies,All Star Movies,Bus,10,
Silver Screen Spirits,Medium $$,Dining,,28.3358863,-81.5722088,Animal Kingdom,All Star Music,All Star Music,Bus,10,
Singing Spirits,Medium $$,Dining,,28.3387575,-81.5764176,Animal Kingdom,All Star Music,All Star Music,Bus,10,
All Star Music,Value $,Resort,,28.3387575,-81.5764176,Animal Kingdom,All Star Music,All Star Music,Bus,10,
Intermission Food Court,Medium $$,Dining,,28.3358863,-81.5722088,Animal Kingdom,All Star Sports,All Star Sports,Bus,10,
End Zone Food Court,Medium $$,Dining,,28.3436338,-81.5752405,Animal Kingdom,All Star Sports,All Star Sports,Bus,10,
All Star Sports,Value $,Resort,,28.3436338,-81.5752405,Animal Kingdom,All Star Sports,All Star Sports,Bus,10,
Animal Kingdom,$109/Day,Park,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Animal Kingdom,Bus,20,
Tiffins,High $$$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Discovery Island,Bus,10,
Anandapur Ice Cream Truck,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Asia,Bus,10,
Caravan Road,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Asia,Bus,10,
Dawa Bar,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Africa,Bus,10,
Drinkwallah,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Asia,Bus,10,
Harambe Fruit Market,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Africa,Bus,10,
Isle of Java,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Discovery Island,Bus,10,
Mahindi,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Africa,Bus,10,
Nomad Lounge,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Discovery Island,Bus,10,
Rainforest Café,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Oasis,Bus,10,
Tamu Tamu Refreshments,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Africa,Bus,10,
Thirsty River Bar & Trek Snacks,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Asia,Bus,10,
Trilo Bites,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Dinoland USA,Bus,10,
Tusker House Restaurant,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Africa,Bus,10,
Warung Outpost,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Asia,Bus,10,
Yak & Yeti,Medium $$,Dining,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Asia,Bus,10,
Island Mercantile,Medium $$,Shopping,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Discovery Island,Bus,10,
Discovery Trading Company,Medium $$,Shopping,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Discovery Island,Bus,10,
Windtraders,Medium $$,Shopping,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Pandora The World of Avatar,Bus,10,
Mombasa Marketplace,Medium $$,Shopping,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Africa,Bus,10,
Zuri's Sweets Shop,Medium $$,Shopping,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Africa,Bus,10,
Mandala Gifts,Medium $$,Shopping,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Asia,Bus,10,
Serka Zong Bazaar,Medium $$,Shopping,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Asia,Bus,10,
Chester & Hester's Dinosaur Treasures,Medium $$,Shopping,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Dinoland USA,Bus,10,
The Dino Institute Shop,Medium $$,Shopping,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Dinoland USA,Bus,10,
Barbirusa,None,Animal Highlights,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Oasis,Bus,10,
Spoonbill,None,Animal Highlights,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Oasis,Bus,10,
Anteater,None,Animal Highlights,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Oasis,Bus,10,
Otter,None,Animal Highlights,,28.3574423,-81.5905788,Animal Kingdom,Animal Kingdom,Discovery Island,Bus,10,
